Origin,Day Transit,Zip Code
"Origin - Coppell, TX 75019",2,18259
"Origin - Coppell, TX 75019",2,18260
"Origin - Coppell, TX 75019",2,18261
"Origin - Coppell, TX 75019",2,18262
"Origin - Coppell, TX 75019",2,18263
"Origin - Coppell, TX 75019",2,18264
"Origin - Coppell, TX 75019",2,18265
"Origin - Coppell, TX 75019",2,18266
"Origin - Coppell, TX 75019",2,18267
"Origin - Coppell, TX 75019",2,18268
"Origin - Coppell, TX 75019",2,18269
"Origin - Coppell, TX 75019",2,18270
"Origin - Coppell, TX 75019",2,18271
"Origin - Coppell, TX 75019",2,18272
"Origin - Coppell, TX 75019",2,18273
"Origin - Coppell, TX 75019",2,18274
"Origin - Coppell, TX 75019",2,18275
"Origin - Coppell, TX 75019",2,18276
"Origin - Coppell, TX 75019",2,18277
"Origin - Coppell, TX 75019",2,18278
"Origin - Coppell, TX 75019",2,18279
"Origin - Coppell, TX 75019",2,18280
"Origin - Coppell, TX 75019",2,18281
"Origin - Coppell, TX 75019",2,18282
"Origin - Coppell, TX 75019",2,18283
"Origin - Coppell, TX 75019",2,18284
"Origin - Coppell, TX 75019",2,18285
"Origin - Coppell, TX 75019",2,18286
"Origin - Coppell, TX 75019",2,18287
